Lat	Long	Id	Country_Avg	Country_Cnt	Bulkd30_Avg	Bulkd1m_Avg	Car30c_Avg	Car1m_Avg	Clay30_Avg	Sand30_Avg	Silt30_Avg	Clay1m_Avg	Sand1m_Avg	Silt1m_Avg
51.583	-1.25	181	2	182	1.0419	1.3223	10.9921	4.6268	10.1089	60.9314	28.788	10.1089	60.9314	28.788
51.583	-1.083	182	2	191	1.1144	1.3552	9.3904	3.653	9.1049	64.0923	26.6991	9.1049	64.0923	26.6991
51.583	-0.917	183	2	186	1.2507	1.4138	5.521	2.3555	10.2473	63.797	26.0594	10.2473	63.797	26.0594
51.583	-0.75	184	2	189	1.2939	1.442	4.5934	2.0933	14.0671	59.2592	26.8426	14.0671	59.2592	26.8426
51.583	-0.583	185	2	102	1.3241	1.4801	3.9002	1.6915	15.3048	60.0279	25.0041	15.3048	60.0279	25.0041
51.583	-0.417	186	2	157	0.6021	0.8689	31.6705	22.3412	10.3094	58.6463	31.113	10.3094	58.6463	31.113
51.583	-0.25	187	2	169	0.5262	0.8122	33.6991	23.9999	8.9821	65.3753	25.6239	8.9821	65.3753	25.6239
51.583	-0.083	188	2	141	0.5005	0.7959	35.0243	24.6234	7.5054	64.0539	23.8728	7.5054	64.0539	23.8728
51.583	0.083	189	2	115	0.7153	1.0634	24.907	13.3823	8.4871	60.6145	31.0569	8.4871	60.6145	31.0569
51.583	0.25	190	2	188	0.5129	0.9908	32.798	16.6777	7.6888	61.5449	26.7526	7.6888	61.5449	26.7526
51.583	0.417	191	2	188	0.4887	0.8819	35.0697	21.4814	6.5517	58.5153	22.5895	6.5517	58.5153	22.5895
51.583	0.583	192	2	186	0.5523	0.9085	32.2959	20.1365	5.7832	58.9355	23.1859	5.7832	58.9355	23.1859
51.583	0.75	193	2	190	0.4571	0.8545	35.3387	22.0402	8.0609	52.1897	22.3161	8.0609	52.1897	22.3161
51.583	0.917	194	2	184	0.4589	0.8236	35.4264	23.4332	7.1739	59.1796	24.2468	7.1739	59.1796	24.2468
51.75	-5.083	195	2	186	0.5928	0.9175	29.2378	19.7892	7.0398	66.9765	25.1531	7.0398	66.9765	25.1531
51.75	-4.917	196	2	193	0.6857	1.0119	25.7708	16.1714	7.7721	63.7773	28.2314	7.7721	63.7773	28.2314
51.75	-4.75	197	2	179	0.8327	1.0946	20.2371	13.7189	9.667	62.4609	27.6537	9.667	62.4609	27.6537
51.75	-4.583	198	2	184	0.7402	1.0377	23.577	15.5022	9.0049	62.2466	28.4668	9.0049	62.2466	28.4668
51.75	-4.417	199	2	190	0.779	1.1412	21.4265	11.0737	9.074	60.9632	29.6468	9.074	60.9632	29.6468
51.75	-4.25	200	2	190	0.975	1.2901	13.5531	5.4409	9.082	62.9736	27.6446	9.082	62.9736	27.6446
